"session_date","session_day","time_block","duration_minutes","room","session_kind","plenum_kind","session_type","tracks","recording_status","title","speakers","speaker_org_titles","description_clean","status","liveUrl","recordingUrl","session_id"
2026-06-18,"Thursday","03:45 PM - 04:45 PM",60,"Maryland 3-4","Content","Concurrent","Hands-on training","","This session *will not* be recorded ⛔️","Finding the story: Court records","Daniel Connolly","Senior Reporter, Law360 and Contributor to Institute for Public Service Reporting / WKNO Radio","In this interactive hands-on session, bring your laptop and practice with us as we show you new tools to help you analyze complex court records - especially on deadline. This hands-on session focuses primarily on two powerful analysis tools: Google Pinpoint and Draftable. We’ll also briefly discuss PACER and RECAP, bread-and-butter tools to help you locate court records across the country. We’ll keep this session lively with fun challenges, so come hang out with us! This session is good for: everyone! No previous data experience is required. Attendees will need to bring their own laptops (preferably no tablets) for the training.","Accepted",NA,NA,"1189279"
2026-06-18,"Thursday","03:45 PM - 04:45 PM",60,"Maryland 5-6","Content","Concurrent","","Data analysis; Tools & tech","This session *will not* be recorded ⛔️","Google Sheets 2: Formulas & sorting","Evan Wyloge","Data Editor, Howard Center for Investigative Journalism at Arizona State University","Much of Google Sheets' power comes in the form of formulas. In this class, you'll learn how to use them to analyze data with the eye of a journalist. Yes, math will be involved, but it's totally worth it! This class will show you how calculations like change, percent change, rates and ratios can beef up your reporting. This session is good for: Anyone who has taken Google Sheets 1 or has been introduced to spreadsheets. You must bring your own laptop (no tablets) to participate in this class, and you will need a free Google account to participate.","Accepted",NA,NA,"1234202"
2026-06-18,"Thursday","03:45 PM - 04:45 PM",60,"Maryland A","Content","Concurrent","Panel","Video","This session *will* be recorded ✅","Breaking news! What now?","Dan Krauth; Ted Oberg","Investigative Reporter WABC-TV New York | Investigative Reporter, WRC TV NBC Washington","It’s not breaking news that a strong I-Team should be on the air when major news breaks but too often, investigative reporters wait to be invited in. Don’t! We will show why & exactly how to add value in minutes. You’ll leave with a practical checklist for what to do now, what to do the moment news breaks, what to do before the first day ends, how to follow up the next day, and how to turn a chaotic breaking story into a sharper investigative piece the next week or month. Bring your breaking-news confusion; leave with a playbook.","Accepted",NA,NA,"1238747"
2026-06-18,"Thursday","03:45 PM - 04:45 PM",60,"Maryland B","Content","Concurrent","Panel","AI","This session *will* be recorded ✅","Covering AI’s environmental impact: How to make a complex story accessible","Lynn Walsh","Assistant Director, Trusting News","Artificial intelligence is rapidly reshaping the world—but its environmental impact is still poorly understood by many audiences. Data centers consume enormous amounts of energy and water, and AI expansion is raising new questions about climate and resource use. Yet much of the reporting on this topic is highly technical and difficult for audiences to engage with. This panel will explore how journalists can better cover AI’s environmental footprint in ways that are clear, compelling, and accessible. Research from Trusting News shows that many people care deeply about the environmental impact of emerging technologies—but often struggle to understand coverage or see how it connects to their lives. Panelists will share examples of reporting approaches that help audiences get “on-ramps” into this complex issue. These include social media explainers, visual storytelling, social cards, and narrative framing that makes the stakes understandable without oversimplifying the science or policy. The discussion will focus on practical strategies reporters and editors can use to translate complicated environmental and technology reporting into stories that invite audiences in—and motivate deeper engagement.","Accepted",NA,NA,"1179778"
2026-06-18,"Thursday","03:45 PM - 04:45 PM",60,"National Harbor 10","Content","Concurrent","Panel","","This session *will* be recorded ✅","Funding your dream investigation project","Eric Ferrero; Jacqueline Stenson; Jane Sasseen; Jill Blackman; Steve Sapienza","Executive Director, Fund for Investigative Journalism | McGraw Center for Business Journalism  | Pulitzer Center | USC Annenberg Center for Health Journalism","With budget cuts and layoffs, more staff reporters and independent journalists must now fund their own investigative reporting projects. Fortunately, organizations like the Fund for Investigative Journalism, Pulitzer Center, and Data-Driven Reporting Project offer financial support. This workshop will help IRE members connect with funders, learn about resources for freelancers, and get guidance on finding funding, securing publisher commitments, and drafting strong grant pitches. We’ll cover key elements of a successful pitch, budgeting basics, and strategies to catch editors’ and grant evaluators’ attention.","Accepted",NA,NA,"1181757"
2026-06-18,"Thursday","03:45 PM - 04:45 PM",60,"National Harbor 11","Content","Concurrent","Panel","Audio/radio","This session *will* be recorded ✅","Driveway moments: Crafting stories that stop listeners in their tracks","Alison MacAdam; Howard Berkes; Nadia Hamdan; Sukey Lewis","Freelance story editor | KQED | Retired Correspondent, NPR Investigations; Chair, Governing Board, Public Health Watch | Reveal","Investigative journalism meets powerful storytelling in this panel designed for audio creators aiming to create those unforgettable ""driveway moments""—when listeners can’t turn off the story even after arriving at their destination. Panelists will explore how to build suspense, evoke emotion, and connect with audiences on a deeply personal level while staying true to the investigative rigor. From scene-setting to pacing, attendees will gain practical strategies for turning complex investigations into gripping, memorable audio experiences.","Accepted",NA,NA,"1221595"
2026-06-18,"Thursday","03:45 PM - 04:45 PM",60,"National Harbor 12-13","Content","Concurrent","Panel","","","What do YOU do when diversity, equity & inclusion becomes taboo? ","Cierra Putman; Mc Nelly Torres","13 Investigates Reporter, WTHR | Independent Journalist, editor & forthcoming book author","How do you produce inclusive and compelling storytelling on the important stories in your community if your newsroom priorities have changed? We’ll lead an honest conversation about how the shift away from diversity, equity and inclusion impacts our newsrooms, us as journalists and our journalism. The discussion will explore strategies on how to navigate corporate buzzwords and move towards editorial impact, reader trust, and community engagement.","Accepted",NA,NA,"1247587"
2026-06-18,"Thursday","03:45 PM - 04:45 PM",60,"National Harbor 3","Content","Concurrent","Panel","","This session *will* be recorded ✅","Unsung documents","Cheryl W. Thompson; James Grimaldi","Investigative Correspondent, NPR | Investigative Journalist","Veteran investigative reporters reprise a classic panel and list obscure but powerful documents that anyone can use to turbocharge a project or bulk-up daily beat coverage. They also provide practical guidelines for unearthing, scrutinizing, managing and cross-referencing routine documents to unleash their full investigative power.","Accepted",NA,NA,"1179991"
2026-06-18,"Thursday","03:45 PM - 04:45 PM",60,"National Harbor 4-5","Content","Concurrent","Panel","Press freedom","This session *will* be recorded ✅","Investigating Trump","Eric Lipton; Hannah Natanson; Josh Dawsey","Narrative enterprise reporter, The Washington Post | Reporter, WSJ | The New York Times","With the curtailment of oversight by the Justice Department, federal inspectors general, the Office of Government Ethics, Office of Special Counsel and Republicans in Congress, the news media has become one of the only remaining entities capable to examining actions by President Trump, his family, donors and his cabinet officials to at least bring some transparency to wrongdoing. Reporters from The NYT, WSJ, Bloomberg, Reuters, ProPublica, The WashPost, NPR, among others, have been doing this work. But it is something that reporters from around the U.S. and the world can help with. We talk about how to take up such an effort, examining some examples from the last 18 months. But we also spend time considering how various news entities in spots across the nation and the world can take up this challenge. Accountability still matters.","Accepted",NA,NA,"1179431"
2026-06-18,"Thursday","04:45 PM - 05:00 PM",15,"Conference-wide","Service / break","Plenary","","","","15 min break","","","",NA,NA,NA,"15427853-90fd-4fb8-8269-2d4b45e99305"
2026-06-18,"Thursday","05:00 PM - 06:00 PM",60,"Chesapeake JKL","Content","Concurrent","","","This session *will not* be recorded ⛔️","Networking: Freelancers","","","Mix and mingle, meet friends old and new, and build your professional community in this fun and informal networking session. This session is for people who work as freelancers.","Accepted",NA,NA,"1237907"
2026-06-18,"Thursday","05:00 PM - 06:00 PM",60,"Maryland 1-2","Content","Concurrent","Hands-on training","Public records; Reporting & writing strategies; Research; Story ideas","This session *will not* be recorded ⛔️","Full disclosure: Using state ethics disclosures to power accountability reporting","Audrey Nielsen; Diara J. Townes; Michael Nolan","Engagement Journalist, NC Local, The Margin | Investigative and Research Journalist, MuckRock | Investigative Journalist and Researcher","Public officials and candidates across the country file personal financial and economic interest disclosures, and those records can be a goldmine for accountability reporting, useful for surfacing conflicts of interest, tracking business entanglements, backgrounding candidates, and connecting the dots between officials' financial lives and their public decisions. But the data is scattered across fifty different systems with different rules, formats, and levels of accessibility. In this session, we’ll dig into the why, how states compare, what’s available, and how you can use disclosure data for your own work. This session will walk through how to find, access, and use disclosure data to support reporting on elections, real estate, inter-and-intra-state business connections, environmental policy, and more. We'll highlight examples of disclosure-driven reporting from across the country, and we'll demo a growing collaborative database of disclosures collected from states nationwide as part of an ongoing open project that attendees are invited to join. We'll also share a comprehensive tipsheet on what data is available in each state and run through strategies for building a continuous workflow around these using these filings on your beat. Attendees will need to bring their own laptops (preferably no tablets) for the training.","Accepted",NA,NA,"1182158"
2026-06-18,"Thursday","05:00 PM - 06:00 PM",60,"Maryland 3-4","Content","Concurrent","Hands-on training","","This session *will not* be recorded ⛔️","What crime stats can (and can't) tell you","Laura Bennett","Director, The Center for Just Journalism","Crime statistics generate a lot of media coverage, but they can be hard to interpret and often obscure broader public safety trends. This workshop will offer practical recommendations for analyzing traditional crime data using locational and historical context, rather than chasing year-over-year fluctuations. It will also include tips for accessing data on other public safety issues, like housing, workplace, and environmental safety. Through real-world examples, hands-on exercises, and guided practice, journalists will leave with concrete tools to cover public safety data with more depth and nuance. Attendees will need to bring their own laptops (preferably no tablets) for the training.","Accepted",NA,NA,"1181936"
2026-06-18,"Thursday","05:00 PM - 06:00 PM",60,"Maryland 5-6","Content","Concurrent","","Data analysis; Tools & tech","This session *will not* be recorded ⛔️","Google Sheets 3: Filtering & pivot tables","","","A look at the awesome power of pivot — and how to use it to analyze your dataset in minutes rather than hours. We'll work up to using a pivot table by first sorting and filtering a dataset, learning how to find story ideas along the way. This session is good for: Anyone familiar with formulas, sorting and filtering in a spreadsheet program. You must bring your own laptop (no tablets) to participate in this class, and you will need a free Google account to participate.","Accepted",NA,NA,"1234205"
2026-06-18,"Thursday","05:00 PM - 06:00 PM",60,"National Harbor 10","Content","Concurrent","Panel","Press freedom","This session *will not* be recorded ⛔️","How they attack us: A field guide to understanding and responding to anti-investigative propaganda","Bret Schafer; Drew Sullivan; Martha Mendoza","Co-Founder and Publisher, OCCRP | FRONTLINE/PBS | ISD-US","Investigative reporting creates enemies—that is a certainty. While physical threats and legal harassment are serious dangers, the most frequent global threat is sophisticated disinformation aimed at discrediting the facts or the journalists. Drawing on years of experience observing real-time campaigns launched by state media, government officials, and anti-establishment influencers following major exposés, this session will provide a practical, action-oriented playbook for newsrooms under attack. Revealing the highly predictable narratives used to undermine accountability journalism, attendees will learn how to effectively counter disinformation and develop proactive strategies to pre-bunk and inoculate your audience against predictable attacks.","Accepted",NA,NA,"1182036"
2026-06-18,"Thursday","05:00 PM - 06:00 PM",60,"National Harbor 4-5","Content","Concurrent","Panel","","This session *will* be recorded ✅","Deep dive: Turning investigative reporting into the stuff of literature","Caitlin Dickerson; Stephanie McCrummen","The Atlantic","Pulitzer Prize winners Caitlin Dickerson and Stephanie McCrummen both write for The Atlantic, and when you see their bylines, you know to read. Dickerson writes epic pieces steeped in horror, from “Seventy Miles in Hell,” on the Darién Gap, to the secret history of the U.S. government’s family-separation policy. McCrummen goes where few reporters venture and writes opening sentences like this: “On the day she heard God tell her to buy a mountain, Tami Barthen already sensed that her life was on a spiritual upswing.” Their talk will take you to the intersection of investigative journalism and narrative.","Accepted",NA,NA,"1216883"
2026-06-18,"Thursday","06:00 PM - 07:00 PM",60,"Maryland D","Service / break","Concurrent","","","","Opening Reception Sponsored by NBC News and NBCUniversal Local","","","The reception sponsor, NBC News, will offer a few words before IRE's former executive director, Diana Fuentes, is recognized. Light bites will be available along with two drink ticket for each person. Conference badges are required for admittance.",NA,NA,NA,"2426850a-bdf4-4e29-8106-c073883f78e2"
2026-06-18,"Thursday","07:00 AM - 07:00 PM",720,"National Harbor 15","Service / break","Concurrent","","","","Recharge Room","","","Need a spot to decompress, take a load off, get your bearings or recharge your batteries? This is the room for you!",NA,NA,NA,"61361407-be25-4d45-856a-37f9fc78d601"
2026-06-18,"Thursday","07:00 PM - 10:00 PM",180,"Maryland C","Service / break","Concurrent","","","","Game Night","","","Have some fun with friends old and new while playing board games, cards, etc. Games and cards are provided, and feel free to bring your own. All conference attendees are welcome.",NA,NA,NA,"d7adf872-f608-4a89-a908-78a1e5fc9ea7"
2026-06-18,"Thursday","07:30 AM - 06:30 PM",660,"Conference-wide","Service / break","Concurrent","","","","Registration Hours","","","Pick up your badge or register on-site: 7:30 a.m. - 6:30 p.m.",NA,NA,NA,"e2c0210e-8117-4801-81ca-2b06aecd7c22"
2026-06-18,"Thursday","08:00 AM - 08:45 AM",45,"National Harbor 6","Service / break","Concurrent","","","","Adjacent Event: Journalists Recovery Network","","","The Journalists Recovery Network will meet and offer a sober space for journalists experiencing troubles with alcohol or substance use. This is an informal meeting for individuals who may struggle with substance use to meet our members and chat more about our organization. Feel free to reach out to us at journalistsrecoverynetwork@gmail.com.",NA,NA,NA,"d5c1ddaa-6d20-4d0b-afa9-8246da7f0c37"
2026-06-18,"Thursday","08:15 AM - 08:45 AM",30,"Maryland A","Content","Concurrent","","","This session *will not* be recorded ⛔️","Welcome to IRE26 + first-timers networking","Francisco Vara-Orta; Josh Hinkle; Lauren Grandestaff","Director of Investigations & Innovation - KXAN | Investigative Reporters & Editors | IRE & NICAR","Welcome to the conference! Hear about tips and tactics to navigate our conference like a pro. Then, stick around for a speed round of networking with fellow attendees and IRE staff and board.","Accepted",NA,NA,"1237908"
2026-06-18,"Thursday","08:30 AM - 05:00 PM",510,"Maryland Foyer","Service / break","Concurrent","","","","Exhibitors","","","Stop by and visit with the exhibitors and recruiters.",NA,NA,NA,"a1df794e-7b47-41c3-834b-75b08020fd1e"
2026-06-18,"Thursday","09:00 AM - 05:00 PM",480,"National Harbor 8","Service / break","Concurrent","","","","Audio Coaching 1:1","","","Sign up for 30 minutes with an audio pro to use however you like: Bring tape for a critique, a pitch for workshopping or your questions about surviving and thriving in the audio journalism space.",NA,NA,NA,"fda65719-fcd6-4443-890d-a8340fa78de1"
2026-06-18,"Thursday","09:00 AM - 06:00 PM",540,"Maryland Foyer","Service / break","Concurrent","","","","Barry Nash and Company One-on-One Coaching","","","Barry Nash and his team return to IRE to provide personalized coaching sessions. If you have questions about any aspect of your delivery — your appearance, how you use your voice, how you can perform most effectively in the field or in the studio — this is an opportunity you won’t want to miss. Barry has been working with talent at all levels of experience and ability for over 30 years. He currently authors the only blog in the world focused exclusively on television news and sports performance. You can find it on Substack Please note: Participants should bring recent footage on a flash drive, webpage/online link, or storage drive (Google or Dropbox). Sign up for a time slot here: https://www.signupgenius.com/go/10C0445A9AD28A5FEC34-64383836-irecoaching#/",NA,NA,NA,"4b724b57-c29e-4d5d-9c17-c0332528b8a0"
2026-06-18,"Thursday","09:00 AM - 10:00 AM",60,"Maryland 1-2","Content","Concurrent","Hands-on training","","This session *will not* be recorded ⛔️","Data visualization for non-designers","Adam Marton","Capital News Service Data and Graphics Bureau / University of Maryland","There are many tools developed in recent years that allow anyone with a basic grasp of spreadsheets and a browser to make beautiful and publication-ready data visualizations. This session will show attendees how to create storytelling infographics and visualizations for their stories using off-the-shelf tools like Datawrapper, Flourish Studio and others. Attendees will need to bring their own laptops (preferably no tablets) for the training.","Accepted",NA,NA,"1188203"
2026-06-18,"Thursday","09:00 AM - 10:00 AM",60,"Maryland 3-4","Content","Concurrent","Hands-on training","Data analysis; Hands on; Tools & tech","This session *will not* be recorded ⛔️","Intro to data mapping: Getting started with QGIS","Andrew Lehren","Mongabay","Learn the basics of mapping analysis with examples from award-winning journalist and educator Andy Lehren. Leave with ideas to hit the ground running in your own newsroom. Data track; bring your own laptop. Seated is limited; laptop prep is required. Please fill out this form to get the necessary information. Attendees will need to bring their own laptops (preferably no tablets) for the training.","Accepted",NA,NA,"1182155"
2026-06-18,"Thursday","09:00 AM - 10:00 AM",60,"Maryland A","Content","Concurrent","Panel","Video","This session *will* be recorded ✅","From Boring to blockbuster: Tricks and tools to up your visual game","Josh Hinkle; Mike Schuh; Nadia Sussman; Owen Hornstein III","Director of Investigations & Innovation - KXAN | Director of Photography & VFX - InvestigateTV | MS StoryWorks/NPPA | Video Journalist, ProPublica","When doing a story with hard facts and heavy data, brining an investigative story to life can sometimes be a challenge. A challenge yes...but not impossible! In this session, we'll share how you can make a non-visual story come to life. From framing interviews to color grading, graphics, and editing. Photojournalists, including NPPA leaders, will share how you can level up your visual game in an interesting, different, and creative way.","Accepted",NA,NA,"1232421"
2026-06-18,"Thursday","09:00 AM - 10:00 AM",60,"National Harbor 2","Content","Concurrent","Panel","","This session *will* be recorded ✅","Front-line leadership: How newsrooms manage risk, safety, and law enforcement coverage","Angelica Mayor; April Alonso; David Armiak; Elizabeth Dunbar; Ximena Natera","Digital Editor |CoFounder - Cicero Independiente | Executive Editor, MinnPost | Freelance visual journalist  | Program Manager, International Women's Media Foundation | Research Director and Investigative Journalist, Center for Media and Democracy","Newsroom leaders from cities experiencing heightened law-enforcement activity will discuss how they are assessing risk and fulfilling their responsibility to protect journalists in the field. Drawing on real newsroom decision-making, panelists will explore how they prepare reporters for volatile assignments, establish safety protocols, respond to emergencies, and balance editorial imperatives with physical and legal risk. They’ll also discuss internal communication, legal coordination, community relationships, and how leadership decisions before and during an assignment directly affect reporter safety. This moderated discussion, led by the International Women’s Media Foundation (IWMF), will offer practical guidance for editors and managers navigating unpredictable reporting conditions — with candid reflections on what has worked, what hasn’t, and what newsrooms must do differently going forward.","Accepted",NA,NA,"1181910"
2026-06-18,"Thursday","09:00 AM - 10:00 AM",60,"National Harbor 3","Content","Concurrent","Panel","","This session *will* be recorded ✅","Let’s get personal: Turning congressional financial disclosures into exclusive  stories","Bryan Metzger; Dave Levinthal; Taylor Giorno","Former Senior Politics Reporter at Business Insider | Reporter at NOTUS covering all things money in politics. | Senior editor at NOTUS overseeing money and politics, investigations and special projects.","Congressional lawmakers and candidates are required to file annual financial disclosures and report their stock transactions. These disclosures are a wealth of stories, as the speakers on this panel have proven. Attendees can expect to learn how to access financial disclosures, how to read them and how to use them to craft compelling articles that break news. You’ll also learn how to identify lawmakers trading stocks in industries where they might have inside information, violating the STOCK Act and padding the vast wealth gap between themselves and their constituents. Such stories are especially timely as momentum builds on Capitol Hill to ban members of Congress and their families from trading and owning stocks.","Accepted",NA,NA,"1181612"
